State,Flower,Bird,Funfact1,Funfact2
AL ,Camellia,Yellowhammer,The influential intellectual and African American leader Booker T. Washington was born as a slave in this state.,Helen Keller was born in this state.
AK,Forget-me-not,Willow Ptarmigan,People travel to this state in order to see the Northern Lights.,"This state's coastline is 6,640 miles long, greater than every other state combined"
AZ,Saguaro cactus,Cactus Wren,This state is home to the Grand Canyon.,This state produces the most copper in the United States.
AR,Apple blossom, Mockingbird,This is the state where nine African Americans students were famously escorted by Army troops into Little Rock Central High School in a civil rights breakthrough.,This state contains the United States' only active diamond mine.
CA,Golden poppy,California Valley Quail,"This state is called the Golden State due to the gold rush that began in 1849, a year before its statehood became official.",This state has the famous Golden Gate bridge.
CO,Rocky Mountain Columbine,Lark Bunting,"This state became a state when the United States turned 100 years old, leading to its nickname ""the Centennial State"".","This state has the highest average elevation, and is home to Denver, ""the Mile High City"", which is exactly a mile above sea level."
CT,Mountain laurel,Robin,This state is called the Constitution State since it has what some consider the first written constitution in the United States.,"In this state, you can enter the home of the famous author Samuel Clemens, also known by his pen name Mark Twain."
DE,Peach blossom,Blue hen chicken,Home to North America's first log cabins which were built by Swedish immigrants in 1683.,The first state.
FL,Orange blossom,Mockingbird,The state produces most of the orange juice sold in the US.,US spaceships are launched from Cape Canaveral in this state.
GA,Cherokee rose,Brown thrasher,This state grows the most peanuts in the United States.,The Girl Scouts were founded here in 1912 by Juliette Gordon Low.
HI,Hibiscus,Nene,This state is the only one with two official languages (the language shares the name of the state).,"Barack Obama was born in Honolulu, the capital of the state."
ID,Syringa,Mountain bluebird,Here tourists can visit the mining town Silver City which has been preserved for over 100 years.,This state produces one-third of the potatoes grown in the United States.
IL,Native violet,Cardinal,Popcorn is this state's official snack.,This state is home to Chicago's Museum of Science and Industry which has the world's largest pinball machine.
IN,Peony,Cardinal,This state has a Christmas themed town called Santa Claus.,"Home to the Indy 500, a highly prestigious racing event."
IA,Wild rose,Eastern Goldfinch,This state produces the most corn in the United States.,This state is the United States' top producer of ethanol.
KS,Native sunflower,Western Meadowlark,This state produces the most wheat in the United States,"Home of the Mammoth-Flint Cave system, which is the world's largest underground cave at 300 miles long."
KY,Solidago,Northern cardinal,This state has the longest-running horse race in the United States.,"The largest amount of gold stored anywhere in the world is in Fort Knox, which is located in this state."
LA,Magnolia,Eastern Brown Pelican,This state was named after King Louis XIV when France claimed this land.,"Known for its Creole cuisine, which is a blend of many cultural cooking styles such Spanish, French, and African."
ME,Pine cone & tassle,Chickadee,"Author Stephen King was born here in the town of Bangor, which the towns in many of his scary stories were modeled after.",This state is famous for its many lighthouses which were needed due to its rocky coastline.
MD,Black Eyed Susan,Baltimore Oriole,Washington DC was created from land originally belonging to this state.,Harriet Tubman was a native to the state and made it an important part of the Underground Railroad.
MA,Mayflower,Chickadee,This state contains Cape Cod where the Mayflower arrived with the Pilgrims.,"This state is where the first battle of the Revolutionary War, the Battle of Lexington and Concord was fought.  "
MI,Apple blossom,Robin,"This state is sometimes called the ""Great Lakes State"" since it is bordered by four of the Great Lakes.","Over 40% of this state is covered by water, which is the most of any state."
MN,Lady slipper,Common Loon,"This state has the Mall of America, which is the biggest mall in the United States, containing over 500 stores and an indoor amusement park.","This state is sometimes called the Land of 10,000 Lakes but actually contains 11,842 lakes."
MS,Magnolia,Mockingbird,Elvis Presley was born here in the city of Tupelo.,The blues musical style began in this state after the Civil War and was inspired by the songs slaves sung in the fields.
MO ,Hawthorn,Bluebird,"This state is home of the Gateway Arch in St. Louis, which at 630 feet is over twice as tall as the Statue of Liberty, and is the tallest monument in the United States.","This state mines the most lead in the United States, which is used mostly in car batteries."
MT,Bitterroot,Western Meadowlark,"This state is home to Giant Springs, the largest freshwater spring in the U.S.","This state is home to the Museum of the Rockies, which holds one of the largest dinosaur fossil collections in the world. It also contains more T-Rex specimens (thirteen) than anywhere else in the world."
NE,Goldenrod,Western Meadowlark,This state is the birthplace of Kool-Aid.,"This state holds the Henry Doorly Zoo, which houses the largest indoor rainforest in the United States."
NV,Sagebrush,Mountain Bluebird,"This state is home to Death Valley, which is the lowest point in North America.","This state is the number one producer of gold in the United States, second only to South Africa in the world."
NH,Purple lilac,Purple finch,"This state was originally called North Virginia. The state isn't near Virginia, but it was given the name because of its similar landscape.","This state is home to Mount Washington, which held the record for over half a century for highest surface wind speed (231 mph), comparable to winds in Category 5 hurricanes and F4 tornadoes."
NJ,Purple violet,Eastern goldfinch,"This state has the highest population density of any U.S. state with an average of 1,030 people per square mile, nearly 13 times the national average.","This state is home to more diners than any other location in the world (over 500), and is sometimes known as the diner capital of the world."
NM,Yucca,Roadrunner,"This state's state constitution officially declares that it's a bilingual state. In this state, 1/3 of families speak Spanish at home.",This state hosts the world's largest annual hot air balloon festival.
